fish,lake_area
10,5
37,41
60,171
113,25719
99,59596
13,1
30,44
114,58016
112,19477
17,10
10,85
14,1
39,174
14,3
14,54
67,82414
36,36
30,1
19,5
46,5346
68,2072
93,17500
13,673
53,2150
17,2370
245,28490
88,4413
24,29
37,9065
22,3302
18,3626
214,32893
177,69484
17,64500
50,31500
5,18500
22,1125
156,423488
74,436000
13,165
11,6206
48,18400
14,24
28,10340
17,2
17,38000
21,221
13,4650
14,231
21,7154
24,616
12,31153
26,27195
13,406
19,399
19,1425
22,60
15,71
9,15
23,98
48,684
21,212
46,676
14,1080
7,111
5,8
40,8264
18,9065
20,357
17,347
